        0.0000000000        7.2311117999
        5.0251256281        6.9532658997
       10.0502512563        6.6736175848
       15.0753768844        6.3926364047
       20.1005025126        6.1107707706
       25.1256281407        5.8284476191
       30.1507537688        5.5460722501
       35.1758793970        5.2640283178
       40.2010050251        4.9826779665
       45.2261306533        4.7023620862
       50.2512562814        4.4234006798
       55.2763819095        4.1460933223
       60.3015075377        3.8707197006
       65.3266331658        3.5975402180
       70.3517587940        3.3267966557
       75.3768844221        3.0587128753
       80.4020100503        2.7934955555
       85.4271356784        2.5313349523
       90.4522613065        2.2724056742
       95.4773869347        2.0168674672
      100.5025125628        1.7648660027
      105.5276381910        1.5165336567
      110.5527638191        1.2719902880
      115.5778894472        1.0313439999
      120.6030150754        0.7946918862
      125.6281407035        0.5621207606
      130.6532663317        0.3337078646
      135.6783919598        0.1095215527
      140.7035175879       -0.1103780451
      145.7286432161       -0.3259383861
      150.7537688442       -0.5371139022
      155.7788944724       -0.7438654136
      160.8040201005       -0.9461595661
      165.8291457286       -1.1439682951
      170.8542713568       -1.3372683139
      175.8793969849       -1.5260406270
      180.9045226131       -1.7102700642
      185.9296482412       -1.8899448408
      190.9547738693       -2.0650561378
      195.9798994975       -2.2355977033
      201.0050251256       -2.4015654735
      206.0301507538       -2.5629572133
      211.0552763819       -2.7197721734
      216.0804020101       -2.8720107650
      221.1055276382       -3.0196742498
      226.1306532663       -3.1627644438
      231.1557788945       -3.3012834347
      236.1809045226       -3.4352333109
      241.2060301508       -3.5646159022
      246.2311557789       -3.6894325298
      251.2562814070       -3.8096837653
      256.2814070352       -3.9253691939
      261.3065326633       -4.0364871935
      266.3316582915       -4.1430347059
      271.3567839196       -4.2450070223
      276.3819095477       -4.3423975678
      281.4070351759       -4.4351976884
      286.4321608040       -4.5233964390
      291.4572864322       -4.6069803709
      296.4824120603       -4.6859333174
      301.5075376884       -4.7602361782
      306.5326633166       -4.8298666971
      311.5577889447       -4.8947992374
      316.5829145729       -4.9550045485
      321.6080402010       -5.0104495257
      326.6331658291       -5.0610969609
      331.6582914573       -5.1069052799
      336.6834170854       -5.1478282703
      341.7085427136       -5.1838147934
      346.7336683417       -5.2148084791
      351.7587939698       -5.2407474040
      356.7839195980       -5.2615637302
      361.8090452261       -5.2771834296
      366.8341708543       -5.2875257117
      371.8592964824       -5.2925027858
      376.8844221106       -5.2920193175
      381.9095477387       -5.2859719633
      386.9346733668       -5.2742488443
      391.9597989950       -5.2567289821
      396.9849246231       -5.2332816794
      402.0100502513       -5.2037658612
      407.0351758794       -5.1680293413
      412.0603015075       -5.1259080386
      417.0854271357       -5.0772251157
      422.1105527638       -5.0217900367
      427.1356783920       -4.9593975396
      432.1608040201       -4.8898265026
      437.1859296482       -4.8128387214
      442.2110552764       -4.7281775313
      447.2361809045       -4.6355663184
      452.2613065327       -4.5347068638
      457.2864321608       -4.4252775182
      462.3115577889       -4.3069311816
      467.3366834171       -4.1792930621
      472.3618090452       -4.0419581880
      477.3869346734       -3.8944886383
      482.4120603015       -3.7364104571
      487.4371859296       -3.5672102057
      492.4623115578       -3.3863310959
      497.4874371859       -3.1931686724
      502.5125628141       -2.9870659300
      507.5376884422       -2.7673078357
      512.5628140704       -2.5331151263
      517.5879396985       -2.2836372910
      522.6130653266       -2.0179445984
      527.6381909548       -1.7350190257
      532.6633165829       -1.4337438927
      537.6884422111       -1.1128919983
      542.7135678392       -0.7711119846
      547.7386934673       -0.4069126300
      552.7638190955       -0.0186446721
      557.7889447236        0.3955202572
      562.8140703518        0.8376143375
      567.8391959799        1.3099020487
      572.8643216080        1.8149142022
      577.8894472362        2.3554876611
      582.9145728643        2.9348126043
      587.9396984925        3.5564888154
      592.9648241206        4.2245930886
      597.9899497487        4.9437604413
      603.0150753769        5.7192824637
      608.0402010050        6.5572273175
      613.0653266332        7.4645869960
      618.0904522613        8.4494594912
      623.1155778894        9.5212757932
      628.1407035176       10.6910852812
      633.1658291457       11.9719176873
      638.1909547739       13.3792467999
      643.2160804020       14.9315908855
      648.2412060302       16.6512992833
      653.2663316583       18.5655961985
      658.2914572864       20.7079854546
      663.3165829146       23.1201707482
      668.3417085427       25.8547264723
      673.3668341709       28.9788852593
      678.3919597990       32.5800277220
      683.4170854271       36.7738392663
      688.4422110553       41.7167786989
      693.4673366834       47.6257749039
      698.4924623116       54.8105626204
      703.5175879397       63.7292527768
      708.5427135678       75.0892646048
      713.5678391960       90.0436221942
      718.5929648241      110.6073851586
      723.6180904523      140.6484282367
      728.6432160804      188.6525982936
      733.6683417085      277.5479840785
      738.6934673367      498.1832854685
      743.7185929648     1978.8243251102
      748.7437185930    -1098.5158658954
      753.7688442211     -445.1506071854
      758.7939698492     -284.9785908233
      763.8190954774     -212.6030866291
      768.8442211055     -171.3773467265
      773.8693467337     -144.7605660551
      778.8944723618     -126.1617316287
      783.9195979899     -112.4362455225
      788.9447236181     -101.8937109781
      793.9698492462      -93.5444377566
      798.9949748744      -86.7704629599
      804.0201005025      -81.1660074040
      809.0452261307      -76.4536065802
      814.0703517588      -72.4371078896
      819.0954773869      -68.9739185748
      824.1206030151      -65.9578935739
      829.1457286432      -63.3083900432
      834.1708542714      -60.9630428178
      839.1959798995      -58.8728640587
      844.2211055276      -56.9988393360
      849.2462311558      -55.3095126713
      854.2713567839      -53.7792408958
      859.2964824121      -52.3869104324
      864.3216080402      -51.1149796299
      869.3467336683      -49.9487542109
      874.3718592965      -48.8758321997
      879.3969849246      -47.8856738273
      884.4221105528      -46.9692647661
      889.4472361809      -46.1188498916
      894.4723618090      -45.3277209210
